station_id,name,so_h,cglo,tb10,rrm,rf,ffx,ff,tb20,tl,rr
1,Aflenz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2,Aigen im Ennstal,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3,Allentsteig,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4,Amstetten,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
5,Bad Aussee,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
6,Bad Bleiberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
7,Bad Gastein,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
8,Bad Gleichenberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
9,Bad Goisern,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
10,Bad Mitterndorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
11,Bad Radkersburg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
12,Baden,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
13,Bernstein,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
14,Bischofshofen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
15,Bregenz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
16,Brenner,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
17,Bruck an der Mur,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
18,Bruckneudorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
19,Dellach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
20,Ehrwald,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
21,Bad Eisenkappel,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
22,Eisenstadt Nordost,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
23,Enns,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
24,Feldkirch,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
25,Fischbach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
26,Freistadt,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
27,Gallspach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
28,Galtür,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
29,Gmunden,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
30,Graz Universität/Heinrichstraße,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
31,Groß-Enzersdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
32,Gumpoldskirchen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
33,Martinsberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
34,Heiligenblut,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
36,Hohe Wand/Hochkogelhaus,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
37,Schöngrabern,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
38,Imst,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
39,Innsbruck Universität,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
40,Irdning-Gumpenstein,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
42,Jenbach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
43,Kals,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
44,Kalwang,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
45,Königswiesen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
46,Krems,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
47,Krimml,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
48,Klagenfurt Flughafen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
49,Kleinzicken,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
50,Landeck,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
51,Langenlebarn,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
52,Langenlois,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
53,Laßnitzhöhe,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
54,Leibnitz-Wagna,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
55,Lienz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
56,Linz Stadt,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
57,Litschau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
58,Lutzmannsburg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
59,Mariazell/St.Sebastian Flugfeld,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
60,Mattsee,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
61,Mayrhofen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
62,Millstatt,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
63,Mönichkirchen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
64,Neumarkt,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
65,Neusiedl am See,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
66,Obergurgl,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
67,Leiser Berge,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
68,Obertauern,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
69,Obervellach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
70,Poysdorf-Ost,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
71,Preitenegg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
72,Puchberg am Schneeberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
73,Radstadt-Tandalier,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
75,Ranshofen Braunau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
76,Reutte,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
77,Rohrbach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
78,Rauris,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
80,Reichenau an der Rax,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
81,Retz Windmühle,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
82,Rudolfshütte,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
83,Saalbach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
84,Saalfelden,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
85,Schmittenhöhe,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
86,Schöckl,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
87,Seefeld,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
88,Semmering,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
89,Stift Zwettl,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
90,St.Andrä im Lavanttal,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
91,Feistritz ob Bleiburg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
92,St.Michael im Lungau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
93,St.Pölten Landhaus,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
94,St.Radegund,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
95,St.Veit an der Glan,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
97,Stolzalpe,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
98,Tamsweg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
99,Unken,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
100,Villach Stadt,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
101,Waidhofen an der Ybbs,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
102,Weißensee-Gatschach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
103,Weitensfeld,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
104,Weyer,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
105,Wien Hohe Warte,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
106,Wien Mariabrunn,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
107,Wien Unterlaa,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
108,Windischgarsten,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
109,St.Wolfgang,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
110,Wolfsberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
111,Wolfsegg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
112,Wiener Neustadt Flugplatz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
113,Zell am See,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
114,Zell am Ziller/Rohrberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
115,Zeltweg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
116,Deutschlandsberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
118,Kitzbühel,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
119,St.Anton am Arlberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
120,Ferlach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
121,Nauders,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
122,Kanzelhöhe,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
123,Schwarzenau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
124,Seckau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
125,Kohlreithberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
126,Haiming,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
127,Rinn,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
128,Radenthein,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
129,Lofer Ort,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
130,Sillian,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
131,Salzburg Flughafen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
132,Bad Ischl,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
133,Fraxern,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
134,Gänserndorf Stadt,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
136,Umhausen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
137,Döllach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
138,Prutz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
139,Steinach am Brenner,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
140,Bad Tatzmannsdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
141,Ried im Innkreis,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
142,Kufstein,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
144,Micheldorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
145,Salzburg Freisaal,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
146,Holzgau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
147,Gröbming,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
148,Weitra,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
149,Mallnitz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
150,Spittal an der Drau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
151,Achenkirch,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
152,Laa an der Thaya Kläranlage,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
153,Präbichl,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
154,Fürstenfeld,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
155,Oberndorf an der Melk,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
156,St.Johann im Pongau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
157,Kollerschlag,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
158,Hohenau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
159,Reichersberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
160,Waizenkirchen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
161,Reichenau am Mühlkreis,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
162,Aspach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
163,Mondsee,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
164,Berndorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
165,Abtenau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
166,Hall bei Admont,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
167,Mürzzuschlag,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
169,Pottschach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
170,Aspang,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
171,Dornbirn,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
172,Schoppernau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
173,Schröcken,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
174,Mittelberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
175,Innsbruck Flughafen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
176,Hahnenkamm-Ehrenbachhöhe,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
177,Uttendorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
178,Hochfilzen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
179,Ramsau am Dachstein,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
180,Rechnitz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
181,Bludenz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
182,Oberwölz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
183,Güssing,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
184,Pitztaler Gletscher,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
185,St.Jakob im Defereggental,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
186,Flattnitz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
187,Friesach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
188,Völkermarkt-Goldbrunnhof,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
189,Melk,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
190,Frankenmarkt,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
192,Wachtberg bei Steyr,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
193,Jauerling,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
195,Mittersill,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
196,Patscherkofel,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
197,Seibersdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
198,Pörtschach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
199,Horn Wasserwerk,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
200,Gleisdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
201,Weiz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
202,Wörterberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
203,Fresach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
204,Kremsmünster,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
205,Feuerkogel,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
206,Loibl Tunnel,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
208,Laas,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
210,St.Leonhard im Pitztal,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
212,Kirchbichl,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
213,Sonnblick,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
214,Söll,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
215,Gars am Kamp,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
217,Kapfenberg Flugfeld,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
218,Andau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
220,Gaschurn,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
221,Stockerau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
222,Wolkersdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
500,Litschau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
501,Litschau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
620,Waidhofen an der Thaya,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
710,Schönfeld,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
726,Raabs an der Thaya,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
900,Retz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
901,Retz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
905,Retz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1000,Alt-Prerau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1401,Kollerschlag,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1410,Rohrbach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1415,Rohrbach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1416,Rohrbach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1420,Schlägel,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1600,Freistadt,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1601,Freistadt,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1602,Freistadt,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1710,Liebenau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1730,Schwarzau im Freiwald,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1800,Weitra,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1802,Weitra,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1900,Schwarzenau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1901,Schwarzenau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1906,Allentsteig,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1910,Stift Zwettl,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
1920,Stift Zwettl,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2114,Horn,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2115,Gars am Kamp,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2116,Gars am Kamp,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2117,Horn Wasserwerk,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2207,Schöngrabern,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2230,Pillersdorf Öhlberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2401,Laa an der Thaya Kläranlage,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2415,Leiser Berge,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2430,Mistelbach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2500,Poysdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2502,Poysdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2503,Poysdorf Ost,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2510,Wilfersdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2600,Hohenau an der March,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2601,Hohenau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2602,Hohenau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2900,Reichersberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2902,Reichersberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
2910,Schärding,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3111,Waizenkirchen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3120,Aschach,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3202,Linz Stadt,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3210,Reichenau (Oberösterreich),❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3257,Linz Weingarsthof,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3266,Linz Petrinum,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3315,Reichenau im Mühlkreis,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3400,Allerheiligen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3410,Pabneukirchen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3425,Bad Zell,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3500,Königswiesen,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3520,Bärnkopf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3600,Gutenbrunn Martinsberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3605,Martinsberg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3700,Jauerling,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3702,Jauerling Gipfel,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3703,Jauerling/Oberndorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3710,Joching,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3720,Unterloiben,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3800,Krems/Landersdorf,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3801,Krems,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3805,Krems,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3807,Krems,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3810,Langenlois,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
3811,Langenlois,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4026,Stockerau Flugplatz,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4030,Stockerau,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4070,Korneuburg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
4071,Korneuburg,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
